id,espacio,luz,tiempo_semanal,experiencia,preferencia_tipo,mascotas,bajo_mantenimiento,pref_maceta,riego_auto,presupuesto,clima,label_planta,label_maceta
58,balcón,baja,moderado,principiante,decorativa,no,si,colgante,no,medio,tropical,Ficus Lyrata,Maceta Expandible Eco
59,balcón,media,poco,avanzado,flores,no,no,expandible,no,medio,calido,Suculenta,Maceta Mini Eco
60,terraza,media,poco,intermedio,colgante,no,no,mini,no,bajo,frio,Jazmín,Maceta Colgante Eco
61,balcón,media,moderado,avanzado,aromatica,si,si,colgante,si,bajo,templado,Menta,Maceta Mini Eco
62,interior,media,poco,avanzado,flores,no,no,expandible,no,medio,calido,Begonia,Maceta Colgante Eco
63,balcón,media,poco,avanzado,verde,no,si,expandible,no,alto,tropical,Jazmín,Maceta Colgante Eco
64,terraza,alta,mucho,intermedio,verde,si,no,mini,si,medio,calido,Areca Palm,Maceta Expandible Eco
65,exterior,alta,mucho,principiante,suculenta,no,si,colgante,no,medio,calido,Peperomia,Maceta Mini Eco
66,terraza,media,poco,principiante,colgante,si,si,colgante,no,medio,tropical,Cactus,Maceta Mini Eco
67,balcón,baja,poco,intermedio,decorativa,si,si,colgante,si,bajo,frio,Girasol,Maceta Expandible Eco
68,terraza,alta,moderado,principiante,flores,no,si,expandible,no,alto,tropical,Suculenta,Maceta Mini Eco
69,terraza,baja,moderado,principiante,verde,no,si,expandible,si,medio,templado,Helecho de Boston,Maceta Colgante Eco
70,interior,media,moderado,principiante,frutal,no,no,expandible,si,alto,frio,Hiedra Inglesa,Maceta Colgante Eco
71,balcón,media,poco,principiante,decorativa,no,si,expandible,no,medio,frio,Aloe Vera,Maceta Mini Eco
72,balcón,alta,moderado,intermedio,verde,no,no,expandible,si,medio,frio,Helecho de Boston,Maceta Colgante Eco
73,exterior,media,moderado,intermedio,verde,no,si,expandible,no,medio,templado,Helecho de Boston,Maceta Colgante Eco
74,interior,baja,mucho,intermedio,suculenta,no,no,colgante,no,medio,tropical,Ficus Lyrata,Maceta Expandible Eco
75,interior,media,poco,intermedio,aromatica,si,si,expandible,si,medio,templado,Petunia,Maceta Colgante Eco
76,terraza,alta,poco,avanzado,frutal,si,si,expandible,si,bajo,templado,Petunia,Maceta Colgante Eco
77,balcón,alta,poco,principiante,frutal,no,si,colgante,si,bajo,templado,Lavanda,Maceta Expandible Eco
78,exterior,media,poco,avanzado,decorativa,no,no,mini,si,alto,calido,Areca Palm,Maceta Expandible Eco
79,balcón,alta,moderado,principiante,aromatica,si,si,colgante,no,alto,calido,Peperomia,Maceta Mini Eco
80,terraza,baja,mucho,intermedio,colgante,si,si,mini,si,alto,calido,Areca Palm,Maceta Expandible Eco
81,balcón,baja,moderado,principiante,frutal,no,no,mini,si,alto,frio,Zamioculca,Maceta Mini Eco
82,balcón,alta,moderado,avanzado,colgante,no,si,expandible,no,bajo,tropical,Cactus,Maceta Mini Eco
83,terraza,alta,mucho,principiante,flores,si,si,mini,si,bajo,tropical,Pothos Dorado,Maceta Colgante Eco
84,exterior,media,poco,principiante,flores,si,no,colgante,no,bajo,tropical,Cactus,Maceta Mini Eco
85,balcón,media,mucho,principiante,suculenta,no,no,colgante,si,bajo,tropical,Calathea,Maceta Expandible Eco
86,exterior,alta,poco,principiante,aromatica,si,no,expandible,no,bajo,templado,Areca Palm,Maceta Expandible Eco
87,balcón,baja,poco,principiante,aromatica,no,si,expandible,si,bajo,frio,Peperomia,Maceta Mini Eco
88,balcón,media,poco,avanzado,verde,no,no,colgante,no,medio,tropical,Geranio,Maceta Expandible Eco
89,terraza,baja,mucho,avanzado,colgante,no,si,colgante,no,bajo,tropical,Begonia,Maceta Colgante Eco
90,terraza,baja,mucho,principiante,flores,no,si,mini,no,medio,frio,Albahaca,Maceta Mini Eco
91,terraza,baja,poco,principiante,suculenta,si,no,colgante,si,alto,tropical,Peperomia,Maceta Mini Eco
92,interior,baja,moderado,principiante,aromatica,no,si,expandible,si,alto,calido,Hiedra Inglesa,Maceta Colgante Eco
93,interior,media,mucho,intermedio,verde,si,no,mini,no,medio,templado,Pothos Dorado,Maceta Colgante Eco
94,exterior,alta,poco,intermedio,verde,si,no,expandible,si,medio,tropical,Areca Palm,Maceta Expandible Eco
95,terraza,alta,moderado,principiante,frutal,no,no,mini,no,bajo,templado,Zamioculca,Maceta Mini Eco
96,terraza,media,poco,principiante,suculenta,si,no,mini,si,bajo,templado,Albahaca,Maceta Mini Eco
97,interior,alta,poco,principiante,flores,si,no,expandible,si,alto,templado,Lavanda,Maceta Expandible Eco
98,balcón,baja,moderado,avanzado,frutal,si,si,expandible,no,alto,templado,Hiedra Inglesa,Maceta Colgante Eco
99,balcón,alta,moderado,intermedio,aromatica,si,si,colgante,si,medio,frio,Pothos Dorado,Maceta Colgante Eco
100,exterior,baja,mucho,avanzado,frutal,si,no,colgante,si,medio,tropical,Aloe Vera,Maceta Mini Eco
101,terraza,media,mucho,avanzado,verde,no,si,colgante,no,alto,tropical,Orquídea Phalaenopsis,Maceta Expandible Eco
102,exterior,media,mucho,principiante,aromatica,no,si,expandible,si,alto,templado,Albahaca,Maceta Mini Eco
103,interior,baja,mucho,intermedio,verde,si,no,expandible,no,alto,frio,Orquídea Phalaenopsis,Maceta Expandible Eco
104,balcón,alta,moderado,intermedio,suculenta,si,si,colgante,no,medio,tropical,Menta,Maceta Mini Eco
105,balcón,alta,poco,intermedio,frutal,si,si,colgante,no,bajo,calido,Orquídea Phalaenopsis,Maceta Expandible Eco
106,exterior,baja,poco,avanzado,aromatica,no,si,expandible,si,alto,templado,Rosal,Maceta Expandible Eco
107,interior,alta,poco,avanzado,decorativa,si,si,expandible,si,medio,templado,Cactus,Maceta Mini Eco
108,terraza,baja,poco,principiante,frutal,no,si,colgante,no,medio,templado,Areca Palm,Maceta Expandible Eco
109,exterior,baja,moderado,avanzado,decorativa,si,si,mini,si,alto,frio,Orquídea Phalaenopsis,Maceta Expandible Eco
110,balcón,media,poco,intermedio,frutal,si,no,expandible,no,medio,templado,Helecho Nephrolepis,Maceta Colgante Eco
111,interior,baja,poco,intermedio,suculenta,no,no,expandible,si,alto,frio,Areca Palm,Maceta Expandible Eco
112,terraza,media,mucho,principiante,flores,si,si,colgante,si,medio,frio,Petunia,Maceta Colgante Eco
113,interior,baja,poco,intermedio,frutal,si,no,mini,no,medio,tropical,Helecho Nephrolepis,Maceta Colgante Eco
114,exterior,baja,mucho,principiante,verde,si,si,mini,no,bajo,tropical,Calathea,Maceta Expandible Eco
115,interior,baja,mucho,principiante,aromatica,si,si,colgante,si,alto,calido,Hiedra Inglesa,Maceta Colgante Eco
116,balcón,alta,mucho,avanzado,flores,si,no,colgante,si,medio,calido,Zamioculca,Maceta Mini Eco
117,terraza,media,poco,avanzado,verde,no,no,expandible,si,bajo,tropical,Cactus,Maceta Mini Eco
118,terraza,media,poco,principiante,flores,si,si,colgante,si,medio,calido,Jazmín,Maceta Colgante Eco
119,exterior,media,poco,intermedio,verde,si,si,expandible,no,alto,frio,Rosal,Maceta Expandible Eco
120,terraza,media,poco,avanzado,verde,si,si,expandible,si,medio,calido,Areca Palm,Maceta Expandible Eco
121,exterior,baja,moderado,principiante,frutal,no,no,colgante,si,bajo,frio,Orquídea Phalaenopsis,Maceta Expandible Eco
122,balcón,media,poco,intermedio,verde,no,si,mini,si,bajo,calido,Albahaca,Maceta Mini Eco
123,exterior,baja,moderado,intermedio,colgante,no,no,expandible,no,bajo,frio,Geranio,Maceta Expandible Eco
124,interior,media,mucho,intermedio,frutal,si,no,mini,no,medio,templado,Jazmín,Maceta Colgante Eco
125,exterior,media,moderado,principiante,suculenta,no,no,mini,si,medio,frio,Zamioculca,Maceta Mini Eco
126,balcón,baja,mucho,intermedio,decorativa,si,no,colgante,si,bajo,calido,Menta,Maceta Mini Eco
127,exterior,alta,moderado,intermedio,verde,no,no,expandible,no,bajo,calido,Albahaca,Maceta Mini Eco
128,exterior,media,mucho,principiante,decorativa,no,no,mini,no,medio,templado,Geranio,Maceta Expandible Eco
129,exterior,baja,moderado,intermedio,colgante,si,si,expandible,si,medio,templado,Cactus,Maceta Mini Eco
130,exterior,alta,poco,avanzado,suculenta,no,si,colgante,si,alto,frio,Hiedra Inglesa,Maceta Colgante Eco
131,exterior,alta,mucho,principiante,frutal,no,no,mini,si,bajo,calido,Begonia,Maceta Colgante Eco
132,terraza,alta,mucho,principiante,verde,si,no,expandible,no,alto,tropical,Aloe Vera,Maceta Mini Eco
133,balcón,media,mucho,principiante,frutal,no,si,mini,no,medio,frio,Girasol,Maceta Expandible Eco
134,exterior,media,poco,avanzado,flores,no,si,expandible,no,medio,calido,Jazmín,Maceta Colgante Eco
135,interior,alta,poco,intermedio,colgante,no,si,mini,no,medio,calido,Areca Palm,Maceta Expandible Eco
136,interior,alta,moderado,intermedio,aromatica,no,no,colgante,si,alto,tropical,Hiedra Inglesa,Maceta Colgante Eco
137,exterior,media,moderado,intermedio,frutal,no,no,expandible,si,bajo,calido,Aloe Vera,Maceta Mini Eco
138,terraza,baja,moderado,avanzado,decorativa,no,no,colgante,no,medio,templado,Menta,Maceta Mini Eco
139,terraza,baja,poco,avanzado,aromatica,no,si,colgante,no,bajo,templado,Calathea,Maceta Expandible Eco
140,interior,baja,mucho,intermedio,suculenta,si,si,mini,no,alto,templado,Zamioculca,Maceta Mini Eco
141,exterior,media,moderado,avanzado,colgante,si,si,mini,si,medio,tropical,Albahaca,Maceta Mini Eco
142,exterior,media,mucho,intermedio,colgante,no,no,colgante,no,bajo,frio,Albahaca,Maceta Mini Eco
143,exterior,media,moderado,intermedio,flores,si,no,expandible,si,medio,frio,Aloe Vera,Maceta Mini Eco
144,exterior,alta,moderado,principiante,colgante,no,si,colgante,si,medio,calido,Anturio,Maceta Expandible Eco
145,exterior,media,poco,principiante,suculenta,no,no,colgante,si,bajo,templado,Albahaca,Maceta Mini Eco
146,exterior,alta,poco,intermedio,verde,si,si,expandible,si,medio,calido,Zamioculca,Maceta Mini Eco
147,terraza,baja,moderado,avanzado,flores,no,no,colgante,no,medio,tropical,Sansevieria (Lengua de suegra),Maceta Mini Eco
148,interior,media,mucho,intermedio,flores,si,si,colgante,si,bajo,tropical,Hierbabuena,Maceta Mini Eco
149,balcón,alta,mucho,principiante,frutal,si,si,expandible,no,alto,frio,Anturio,Maceta Expandible Eco
150,interior,baja,poco,principiante,flores,no,no,expandible,no,medio,tropical,Girasol,Maceta Expandible Eco
